title,langcode,body
Jason Holdren,en,"Gallia County

Address: 18 Locust Street, Rm 1267, Gallipolis, OH 45631

Phone: 740-446-0018 or 1652
FAX: 740-441-2050

Email: prosecutor@gallianet.net

Website: http://gallianet.net/

Headshot:https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjJmvHKyJ7cAhVpkeAKHakcBnwQjRx6BAgBEAU&url=https%3A%2F%2Fwww.facebook.com%2Fgalliaprosecutor%2F&psig=AOvVaw0Xefhq1Z-rnC7Jk7Jhdj2V&ust=1531656763695170 "
Michael C. O'Malley,en,"Cuyahoga County

Address: 1200 Ontario Street, Cleveland, OH 44113

Phone: 216-443-7800
FAX: 216-443-7601

Website: http://prosecutor.cuyahogacounty.us/en-us/contact.aspx

Heashot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiTmOyqyp7cAhUknOAKHZ-rAJ0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.news-herald.com%2Fgovernment-and-politics%2F20160302%2Fmichael-omalley-candidate-for-cuyahoga-county-prosecutor-march-2016-primary-election&psig=AOvVaw3xqeJUdA7g2mo_AITRYcNb&ust=1531657275294433"
Sherri L. Bevan Walsh ,en,"Summit County

Address:53 University Avenue, Akron, OH 44308-1680

Phone: 330-643-2800
FAX: 330-643-2137

Website: https://co.summitoh.net/prosecutor/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwitztjuyp7cAhUGUt8KHfBQD64QjRx6BAgBEAQ&url=https%3A%2F%2Fco.summit.oh.us%2Fprosecutor%2Findex.php%2Finformation%2Fnewsletters%2Ffinish%2F103-2013%2F729-december-2013&psig=AOvVaw3d6u4G_7yf5GI9f0iMW6Hy&ust=1531657472282716 

"
John D. Ferrero,en,"Stark County

Address:110 Central Plaza S., S-510, Canton, OH 44702

Phone: 330-451-7897
FAX: 330-451-7965

Website: http://www.starkcountyohio.gov/prosecutor

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwikh5Sky57cAhWvc98KHYsgD2gQjRx6BAgBEAU&url=http%3A%2F%2Fwww.cantonrep.com%2Farticle%2F20151222%2FNEWS%2F151229839&psig=AOvVaw0FqslRmtiftNHAC_PutMZa&ust=1531657521940622"
Ryan D. Styer,en,"Tuscarawas County

Address: 125 East High Avenue, New Philadelphia, OH 44663

Phone: 330-364-8811 X3214
FAX: 330-364-4135

Website: https://www.countyoffice.org/tuscarawas-county-prosecuting-attorney-new-philadelphia-oh-e3c/ 

"
Joel Blue,en,"Guernsey County

Address: 627 Wheeling Avenue, Cambridge, OH 43725

Phone: 740-432-9389
FAX:740-432-5697

Website: http://guernseycounty.org/county-prosecutor/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiKke7HzJ7cAhWQmeAKHWmsAx0QjRx6BAgBEAU&url=http%3A%2F%2Fguernseycounty.org%2Fcounty-prosecutor%2F&psig=AOvVaw2uxyCKqqs_ewAoJcvdx2ne&ust=1531657928745100"
Kelly A. Riddle,en,"Noble County

Address: 150 Courthouse, Caldwell, OH  43724

Phone: 740-732-5685
FAX: 740-732-6219

Website: ? 

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj1t7CNzZ7cAhWkdt8KHVfXDFsQjRx6BAgBEAU&url=http%3A%2F%2Fwww.ohiopa.org%2FNoble.html&psig=AOvVaw2DIDQCCSwETgte4iLN70p9&ust=1531658016704049"
Kevin A. Rings,en,"Washington County

Address: 205 Putnam Street, Marietta, OH 45750

Phone: 740-373-7624
FAX: 740-373-8748

Website: http://www.washingtongov.org/cl-Prosecutor.htm

Headshot: "
Charles E. Coulson,en,"Lake County

Address: 105 Main Street, Box 490, Painesville, OH 44077

Phone: 440-350-2684
FAX: 440-350-2585

Website: http://www.lakecountyprosecutor.org/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjUq8mAzp7cAhVxdt8KHUvCDAQQjRx6BAgBEAU&url=http%3A%2F%2Fwww.lakecountyprosecutor.org%2F&psig=AOvVaw2YeLSuFndsIev-iz1k4cix&ust=1531658316154838"
James R. Flaiz,en,"Geauga County

Address: 231 Main Street, S-3A, Chardon, OH 44024

Phone: 440-279-2100
FAX: 440-279-1322

Website: http://www.prosecutor.co.geauga.oh.us/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjD3oWuzp7cAhUOZd8KHQgGAzcQjRx6BAgBEAU&url=http%3A%2F%2Fwww.geaugabar.org%2Fjames-r-flaiz.html&psig=AOvVaw2zTqMZttC7JfOhBuwpxQiA&ust=1531658374402424"
Victor Vigluicci,en,"Portage County

Address: 241 S. Chestnut St., Ravenna, OH 44266

Phone: 330-297-3850
FAX: 330-297-3856

Website: http://www.portageprosecutor.com/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjvtITizp7cAhXldd8KHVhhDHYQjRx6BAgBEAU&url=http%3A%2F%2Fwww.portageprosecutor.com%2F&psig=AOvVaw2ivqPKhMwSO0gGErqMaQZy&ust=1531658477546582"
Steven D. Barnett,en,"Carroll County

Address: 7 East Main Street, Carrollton, OH 44615

Phone: 330-627-4555
FAX: 330-627-4591

Website: http://carrollcountyohio.us/agencies-and-departments/prosecutor/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjEwtqXz57cAhWsTt8KHZilC6gQjRx6BAgBEAU&url=http%3A%2F%2Fcarrollcountyohio.us%2Fteam%2Fsteven-d-barnett%2F&psig=AOvVaw1piAs5X1_W4XYDPd5Hhzw3&ust=1531658558487954"
Owen Beetham,en,"Harrison County

Address: 111 West Warren Street, P.O. Box 248, Cadiz, OH 43907

Phone: 740-942-2621
FAX: 740-942-8458

Website: http://www.harrisoncountyohio.org/prosecutor

Headshot: http://www.harrisoncountyohio.org/?action=media.media.read&id=28294&size=large"
Daniel P. Fry ,en,"Belmont County

Address: 47A West Main Street, St. Clairsville, OH 43950

Phone: 740-699-2771
FAX: 740-695-4412

Website: http://belmontcountyprosecutingattorney.com/

Headshot: "
James L. Peters,en,"Monroe County

Address: 101 North Main Street, Room 15, Woodsfield, OH 43793

Phone: 740-472-1158
FAX: 740-472-1568

Website: http://www.monroecountyohio.com/government/prosecutor/index.php

Headshot: "
Nicholas A Larocci,en,"Ashtabula County

Address: 25 West Jefferson Street, Jefferson, OH 44047

Phone: 440-576-3664
FAX: 440-576-3600

Website: https://www.co.ashtabula.oh.us/147/Prosecutor

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi68LeFgqHcAhVhm-AKHd-XAuwQjRx6BAgBEAU&url=https%3A%2F%2Fwww.co.ashtabula.oh.us%2Fdirectory.aspx%3FEID%3D10&psig=AOvVaw2BzopP3se8biBJ5NYmK023&ust=1531740932777210"
Dennis Watkins,en,"Trumbull County

Address: 160 High Street, Warren, OH 44481

Phone: 330-675-2426
FAX: 330-675-2431

Website: http://prosecutor.co.trumbull.oh.us/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjxxbazgqHcAhVBdt8KHQFYA-0QjRx6BAgBEAU&url=http%3A%2F%2Fwww.co.trumbull.oh.us%2Ftc_about.html&psig=AOvVaw3sHbC0GzFugATG_4qE3y3X&ust=1531741030562853"
Paul J. Gains,en,"Mahoning County 

Address: 21 W Boardman S-600, Youngstown, OH 44503

Phone: 330-740-2330
FAX: 330-740-2008

Website: https://www.mahoningcountyoh.gov/213/Prosecutor

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiP5YfhgqHcAhVqk-AKHSXOCC0QjRx6BAgBEAU&url=https%3A%2F%2Fwww.mahoningcountyoh.gov%2F771%2FAbout-the-Prosecutor&psig=AOvVaw3qtTtZ69Dbmfdi0cZzRZC8&ust=1531741145784032"
Robert Herron,en,"Columbiana County

Address: 105 South Market Street, Lisbon, OH 44432

Phone: 330-420-0140
FAX: 330-424-0944

Website: https://www.policeone.com/Headquarters/Columbiana-County-Prosecutors-Offfice-Lisbon-OH/

Headshot: "
Jane Hanlin,en,"Jefferson County

Address: 16001 SR 7, Steubenville, OH 43952

Phone: 740-283-1966
FAX: 740-283-3409

Website: http://www.jeffersoncountyoh.com/Home.aspx"
